material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2274780-3B,G,80,ASSEMBLY,INSTALL DATALINK ASSEMBLY,EOPC Seekers,527,8,1,1615.7,,3.1,98.5%,99.8%
2274780-3B,G,85,TEST,LOAD FIRMWARE,EOPC Seekers,522,43,9,156.9,0.2,0.3,91.8%,98.3%
2274780-3B,G,580,INSPECTION,FINAL INSPECTION,EOPC Seekers,519,14,1,,,0.0,97.3%,99.8%
2274780-3B,G,9600,INSPECTION,CABS VERIFY,EOPC Seekers,519,0,,,,0.0,100.0%,100.0%
,,,,,,,,,,,,,
2212789,H,3,ASSEMBLY,,RDF,889,0,,113.8,,0.1,100.0%,100.0%
2212789,H,20,ASSEMBLY,ASSEMBLE,RDF,889,1,1,94.6,,0.1,99.9%,99.9%
2212789,H,30,ASSEMBLY,ASSEMBLE,RDF,884,44,25,930.2,,1.1,95.0%,97.2%
2212789,H,40,ASSEMBLY,ASSEMBLE,RDF,370,2,,0,,0.0,99.5%,100.0%
2212789,H,40,TEST,TEST,RDF,510,3,,61.4,0.2,0.1,99.4%,100.0%
2212789,H,50,ASSEMBLY,ENCAPSULATION & MARKING,RDF,874,3,3,945.3,,1.1,99.7%,99.7%
2212789,H,580,INSPECTION,FINAL INSPECTION,RDF,869,6,,,,0.0,99.3%,100.0%
,,,,,,,,,,,,,
2276178,I,3,ASSEMBLY,,RDF,339,30,,42.6,,0.1,91.2%,100.0%
2276178,I,20,ASSEMBLY,,RDF,784,0,,128.6,,0.2,100.0%,100.0%
2276178,I,30,ASSEMBLY,Assemble,RDF,789,37,21,1026.6,,1.3,95.3%,97.3%
2276178,I,40,ASSEMBLY,,RDF,395,1,1,0,,0.0,99.7%,99.7%
2276178,I,40,TEST,Test,RDF,388,0,,74.7,0.2,0.2,100.0%,100.0%
2276178,I,50,ASSEMBLY,ENCAPSULATION & MARKING,RDF,767,26,10,1146.8,,1.5,96.6%,98.7%
2276178,I,580,INSPECTION,FINAL INSPECTION,RDF,766,33,,,,0.0,95.7%,100.0%
,,,,,,,,,,,,,
2212905-1,J,3,ASSEMBLY,ASSEMBLY,EOPC Seekers,724,2,1,,,0.0,99.7%,99.9%
2212905-1,J,5150,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,0,,345.9,,0.5,100.0%,100.0%
2212905-1,J,5200,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,2,,338.3,,0.5,99.7%,100.0%
2212905-1,J,5220,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,1,,356.3,,0.5,99.9%,100.0%
2212905-1,J,5240,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,4,4,897.2,,1.2,99.5%,99.5%
